winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
blue,4805.0,16.01666666666667,31.0,50.0,145.0,49.0,25.0
blue,2933.0,9.776666666666667,23.0,25.0,208.0,26.0,18.0
blue,4076.0,13.586666666666666,23.0,46.0,171.0,39.0,21.0
blue,4532.0,15.106666666666666,46.0,25.0,176.0,29.0,24.0
blue,4400.0,14.666666666666666,38.0,19.0,188.0,26.0,29.0
blue,4006.0,13.353333333333333,26.0,22.0,195.0,21.0,36.0
blue,4396.0,14.653333333333332,40.0,23.0,184.0,19.0,34.0
blue,3952.0,13.173333333333334,32.0,9.0,199.0,24.0,36.0
blue,3296.0,10.986666666666666,31.0,20.0,212.0,21.0,16.0
blue,4260.0,14.2,37.0,24.0,186.0,30.0,23.0
blue,3697.0,12.323333333333334,27.0,26.0,204.0,19.0,24.0
blue,3744.0,12.479999999999999,21.0,26.0,190.0,39.0,24.0
blue,4655.0,15.516666666666667,30.0,36.0,154.0,56.0,24.0
